index,URL,Topic Score,Labels
0,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/73401823_425688571667337_6601403187733261827_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=490c3f2253eb68540557b06343fb8d18&oe=5E6955D6,"0.238*""marin"" + 0.161*""organ"" + 0.116*""water"" + 0.109*""biolog"" + 0.089*""mammal"" + 0.080*""photographi"" + 0.033*""blue"" + 0.030*""plant"" + 0.026*""vehicl"" + 0.018*""rock""",Rays and skates Fish Underwater Water Manta ray Organism Marine biology Stingray Cartilaginous fish Skate
1,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/69836734_167000641043787_2697821708383977258_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=1a77585017d745ae23a07956782c8d76&oe=5E5984BE,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Photography
2,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e15/75516647_804932756631596_4782417868530061003_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=61d65904f637273e3de7de52fc1ff4a7&oe=5E6FCD87,"0.182*""mountain"" + 0.149*""landscap"" + 0.133*""natur"" + 0.100*""geolog"" + 0.094*""landform"" + 0.083*""phenomenon"" + 0.035*""atmospher"" + 0.032*""peopl"" + 0.028*""rock"" + 0.025*""cloud""",Badlands Mountainous landforms Sky Nature Mountain Rock Formation Cloud Wilderness Geology
3,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/75214681_431073127793880_9119515217875748614_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=143c538fe847fcb42cab66667a47351d&oe=5E58384E,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Rock Tourism Landscape National park
4,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/74496193_430215351025490_4168437098329671307_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=fbbcfce952462955138831fd6dbca8a3&oe=5E51D6DA,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",People Community Yellow Tradition Event Temple Tourism Adaptation Sari Smile
5,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/73546053_164166418006535_1106117977828097083_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=dffdda2c66127a2118c4908c34ba6501&oe=5E6911B1,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Water Photograph Sky Sea Skin Beauty Ocean Vacation Summer Cloud
6,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/74666124_2404855259774372_3315970708196947688_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=a9d77cdf2d8ca44e169a3be2f15ed8a5&oe=5E833D98,"0.236*""natur"" + 0.097*""grass"" + 0.093*""landscap"" + 0.081*""environ"" + 0.077*""tree"" + 0.053*""plant"" + 0.042*""water"" + 0.038*""ocean"" + 0.035*""green"" + 0.032*""photographi""",People in nature Grassland Natural landscape Standing Grass Grass family Ecoregion Sky Field Photography
7,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/72847525_500722273988767_3779911754686010127_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=747425265fbc201c3e7b8c49d48e8049&oe=5E8B27CC,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Plumbing fixture Tile Plumbing Shower
8,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/72653623_422236668420592_6912429139283897555_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=5790fb8568ceecb78e6ced9f1a562d01&oe=5E667268,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Event Temple
9,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/75252718_275774573321433_4426133125879599699_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=954ced245dff2ff6916cb25dc47b3736&oe=5E6B79A5,"0.163*""mountain"" + 0.135*""atmospher"" + 0.080*""phenomenon"" + 0.079*""natur"" + 0.062*""landform"" + 0.057*""tree"" + 0.051*""cloud"" + 0.050*""grass"" + 0.044*""plant"" + 0.038*""landscap""",Sky Nature Mountainous landforms Mountain Reflection Light Rock Atmospheric phenomenon Night Atmosphere
10,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/75419809_2497647547133654_1529396543969549835_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=f3e495d8c2efa8a07ab4cf65d8ae9442&oe=5E5104B7,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Temple Adaptation World
11,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/74713841_796747984090292_99550008857750687_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=f1f78a6acc06fd5a1ed29aa96307eddc&oe=5E69FAFA,"0.189*""natur"" + 0.167*""water"" + 0.098*""landscap"" + 0.069*""blue"" + 0.053*""cloud"" + 0.050*""mountain"" + 0.038*""atmospher"" + 0.027*""photographi"" + 0.025*""vehicl"" + 0.023*""environ""",Sky Nature Water Green Natural landscape Cloud Horizon Sea Sound Water resources
12,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/p1080x1080/73137155_100643104709587_1328046451567791634_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=a82bd9203b51c303472be9e28f071185&oe=5E67D6BD,"0.170*""water"" + 0.132*""tree"" + 0.093*""plant"" + 0.092*""phenomenon"" + 0.065*""geolog"" + 0.058*""mountain"" + 0.048*""natur"" + 0.041*""atmospher"" + 0.041*""photographi"" + 0.041*""landscap""",Water Tree Landscape Night Geological phenomenon Watercourse Mountain Plant City
13,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/75419807_226270278363485_9001863798283066018_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=d319ea572d537d335b73daed4c87d9c0&oe=5E6873A6,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Water transportation Harbor Boat Vehicle Fishing vessel Port Transport Water Marina Watercraft
14,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/72999996_123245365781006_5399948343626336083_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=aad3a73e977cc6d50ed8387c61ba6a67&oe=5E56FA81,"0.117*""sit"" + 0.101*""night"" + 0.100*""leisur"" + 0.080*""photographi"" + 0.078*""smile"" + 0.068*""water"" + 0.052*""architectur"" + 0.048*""adapt"" + 0.037*""human"" + 0.032*""vacat""",Lion Wildlife Masai lion Big cats Felidae Sky Tree Adaptation Landscape Savanna
