Category,Book_Name,Author,Publisher,URL
Hardcover Fiction,THE GUARDIANS,John Grisham,Doubleday,https://www.goodreads.com/book/show/43701061-the-guardians?from_search=true&qid=u6VvC1grXX&rank=1
Hardcover Fiction,WHERE THE CRAWDADS SING,Delia Owens,Putnam,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing?ac=1&from_search=true&qid=9U0W4Gn7Xq&rank=1
Hardcover Fiction,THE 19TH CHRISTMAS,James Patterson and Maxine Paetro,"Little,Brown",https://www.goodreads.com/book/show/43884993-the-19th-christmas?ac=1&from_search=true&qid=jfnqFS9FyY&rank=1
Hardcover Fiction,THE WATER DANCER,by Ta-Nehisi Coates,One World,https://www.goodreads.com/book/show/43982054-the-water-dancer?from_search=true&qid=20zeD2vTJw&rank=1
Hardcover Fiction,THE INSTITUTE,by Stephen King,Scribner,https://www.goodreads.com/book/show/43798285-the-institute?ac=1&from_search=true&qid=Ptmh09iA61&rank=1
Hardcover Fiction,THE TESTAMENTS,by Margaret Atwood,Doubleday,https://www.goodreads.com/book/show/42975172-the-testaments?ac=1&from_search=true&qid=87VuaaKoZp&rank=2
Hardcover Fiction,THE NIGHT FIRE,by Michael Connelly,"Little, Brown",https://www.goodreads.com/book/show/43885041-the-night-fire?ac=1&from_search=true&qid=9Nx1jwz9oP&rank=2
Hardcover Fiction,BLUE MOON,by Lee Child,Delacorte,https://www.goodreads.com/book/show/43662365-blue-moon?from_search=true&qid=02f1MOBgay&rank=13
Hardcover Fiction,An Anonymous Girl,by Greer Hendricks and Sarah Pekkanen ,(St. Martin's),https://www.goodreads.com/book/show/39863515-an-anonymous-girl?ac=1&from_search=true&qid=MSitrdj9af&rank=1
Hardcover Fiction,The Silent Patient,by Alex Michaelides ,(Celadon),https://www.goodreads.com/book/show/40097951-the-silent-patient?from_search=true&qid=VHYHWBF4Yq&rank=1
Hardcover Fiction,Redemption,by David Baldacci ,(Grand Central),https://www.goodreads.com/book/show/41064227-redemption
Hardcover Fiction,Summer of '69,by Elin Hilderbrand ,"(Little, Brown)",https://www.goodreads.com/book/show/42283286-summer-of-69?ac=1&from_search=true&qid=f8zu0flHYp&rank=1
Hardcover Fiction,The New Girl,by Daniel Silva ,(Harper) ,https://www.goodreads.com/book/show/42791437-the-new-girl?ac=1&from_search=true&qid=qJxFqkDYJG&rank=4
Hardcover Fiction,One Good Deed,by David Baldacci,(Grand Central),https://www.goodreads.com/book/show/43886034-one-good-deed?from_search=true&qid=p2iiY6BU6M&rank=1
Hardcover Fiction,A Better Man,by Louise Penny ,(Minotaur),https://www.goodreads.com/book/show/44034500-a-better-man?ac=1&from_search=true&qid=x5zosaljsY&rank=3
Hardcover Fiction,Twisted Twenty-Six, by Janet Evanovich, (Putnam),https://www.goodreads.com/book/show/44906255-twisted-twenty-six?ac=1&from_search=true&qid=8UAVZQfY9l&rank=1
Hardcover Fiction,Kingdom of the Blind,by Louise Penny ,"(Minotaur) - December 16, 2018",https://www.goodreads.com/book/show/38232379-kingdom-of-the-blind?ac=1&from_search=true&qid=eR5LEkm1In&rank=1
Hardcover Fiction,The Woman in the Window,by A.J. Finn ,"(Morrow) - January 21, 2018",https://www.goodreads.com/book/show/40389527-the-woman-in-the-window?ac=1&from_search=true&qid=GugN5cgVem&rank=1
Hardcover Fiction,Dark In Death, by J.D. Robb ,"(St. Martin's) - February 18, 2018",https://www.goodreads.com/book/show/35466342-dark-in-death?ac=1&from_search=true&qid=j1eDc7BsvH&rank=1
Hardcover Fiction,The Great Alone, by Kristin Hannah ,"(St. Martin's) - February 25, 2018",https://www.goodreads.com/book/show/34912895-the-great-alone?ac=1&from_search=true&qid=e4by6DlTOZ&rank=1
Hardcover Fiction,The Rising Sea,by Clive Cussler and Graham Brown ,"(Putnam) - April 1, 2018",https://www.goodreads.com/book/show/35493082-the-rising-sea?ac=1&from_search=true&qid=rj2fgB3c1h&rank=2
Hardcover Fiction,Accidental Heroes,by Danielle Steel," (Delacorte) - April 8, 2018",https://www.goodreads.com/book/show/35518466-accidental-heroes?ac=1&from_search=true&qid=Xzp4jEr6f7&rank=1
Hardcover Fiction,The Disappeared,by C.J. Box ,"(Putnam) - April 15, 2018",https://www.goodreads.com/book/show/35534628-the-disappeared?from_search=true&qid=nt8lo0nSlu&rank=8
Hardcover Fiction,I've Got My Eyes on You,by Mary Higgins Clark ,"(Simon & Schuster) - April 22, 2018",https://www.goodreads.com/book/show/35297310-i-ve-got-my-eyes-on-you?ac=1&from_search=true&qid=8obrFOYLQn&rank=1
Hardcover Fiction,Circe,by Madeline Miller ,"(Little, Brown) - April 29, 2018",https://www.goodreads.com/book/show/35959740-circe?ac=1&from_search=true&qid=N1h4nbZ1ss&rank=1
Hardcover Fiction,The Fallen, by David Baldacci ,"(Grand Central) - May 6, 2018",https://www.goodreads.com/book/show/35959808-the-fallen?ac=1&from_search=true&qid=3SYJYyHsPs&rank=4
Hardcover Fiction,Twisted Prey,by John Sandford ,"(Putnam) - May 13, 2018",https://www.goodreads.com/book/show/36140457-twisted-prey?ac=1&from_search=true&qid=b2JGJsRxOf&rank=1
Hardcover Fiction,The 17th Suspect,by James Patterson and Maxine Paetro ,"(Little, Brown) - May 20, 2018",https://www.goodreads.com/book/show/35212978-the-17th-suspect?ac=1&from_search=true&qid=7iNbli9oMx&rank=1
Hardcover Fiction,The Cast,by Danielle Steel ,"(Delacorte) - June 3, 2018",https://www.goodreads.com/book/show/36106797-the-cast?ac=1&from_search=true&qid=YiqxQvYTt5&rank=1
Hardcover Fiction,The Outsider,by Stephen King," (Scribner) - June 10, 2018",https://www.goodreads.com/book/show/36124936-the-outsider?from_search=true&qid=fyuw8R3edP&rank=6
Hardcover Fiction,The President Is Missing,by James Patterson and Bill Clinton ,"(Little, Brown and Knopf) - June 24, 2018",https://www.goodreads.com/book/show/35097255-the-president-is-missing?ac=1&from_search=true&qid=K6QTIvXu6I&rank=1
Hardcover Fiction,The Other Woman,by Daniel Silva ,"(Harper) - August 5, 2018",https://www.goodreads.com/book/show/36421604-the-other-woman?from_search=true&qid=eyRkNkgxjx&rank=11
