Book_ID,"('character', 'story')","('like', 'story')","('series', 'story')","('love', 'story')","('great', 'story')","('end', 'story')","('new', 'story')","('think', 'story')","('people', 'story')","('plot', 'story')","('life', 'story')","('stars', 'story')","('author', 'story')","('enjoyed', 'story')","('loved', 'story')","('interesting', 'story')","('world', 'story')","('murder', 'story')","('family', 'story')","('man', 'story')","('different', 'story')","('story', 'series')","('character', 'series')","('like', 'series')","('love', 'series')","('great', 'series')","('end', 'series')","('new', 'series')","('think', 'series')","('people', 'series')","('plot', 'series')","('life', 'series')","('stars', 'series')","('author', 'series')","('enjoyed', 'series')","('loved', 'series')","('interesting', 'series')","('world', 'series')","('murder', 'series')","('family', 'series')","('man', 'series')","('different', 'series')"
1.0,0.35,0.34,0.3,0.23,0.47,0.34,0.41,0.14,0.26,0.34,0.39,0.41,0.39,0.43,0.02,0.23,0.29,0.05,-0.6,0.2,0.15,0.18,0.43,-0.25,0.4,0.0,0.09,-0.25,0.3,0.0,0.4,-0.1,0.4,0.4,0.07,0.53,0.3,0.0,0.0,0.0,0.12,0.4
2.0,0.17,0.19,0.0,0.21,0.27,0.16,0.2,0.21,0.09,0.15,0.09,0.07,0.21,0.1,0.24,0.17,0.16,0.06,0.03,0.15,0.11,0.0,-0.05,0.4,0.4,0.0,-0.05,0.4,0.0,0.4,-0.5,0.4,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,-0.05,0.4
3.0,0.08,0.15,0.05,0.29,0.46,-0.04,0.17,0.01,-0.08,-0.1,0.28,0.5,0.12,0.12,0.7,0.27,-0.47,0.05,0.1,0.0,-0.3,0.02,-0.04,0.08,0.34,0.01,0.08,-0.02,-0.05,0.2,0.19,-0.07,0.2,0.11,0.01,0.33,-0.05,0.28,-0.05,0.05,-0.06,0.32
4.0,0.09,0.12,0.78,0.15,0.25,0.17,0.11,0.2,0.14,0.15,0.1,0.14,0.21,0.33,0.2,0.11,0.11,-0.05,-0.02,0.15,0.27,0.3,0.13,0.4,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0.6,0.2,0.13,0.0,0.0,0.0,0.4,0.0,0.4,0.3,0.4
5.0,0.24,0.23,0.06,0.36,0.23,0.2,0.27,0.22,0.18,0.17,0.18,0.29,0.19,0.28,0.34,0.27,0.13,0.33,-0.2,0.14,0.15,0.28,0.31,0.2,0.29,0.28,0.27,0.05,0.14,0.07,0.12,0.35,0.2,0.28,0.46,0.43,0.05,0.27,0.4,-0.2,0.21,0.08
6.0,0.39,0.3,0.27,0.34,0.3,0.26,0.21,0.32,0.23,0.21,0.26,0.34,0.29,0.41,0.31,0.35,0.32,0.4,0.32,0.31,0.26,0.14,0.13,0.09,-0.02,0.18,0.14,0.1,0.1,0.1,0.01,0.12,-0.08,-0.0,0.32,-0.01,0.23,0.18,0.32,-0.22,0.07,0.05
7.0,0.21,0.21,0.23,0.2,0.2,0.27,0.05,0.16,0.26,0.1,0.02,0.14,0.08,0.4,0.02,0.16,0.22,0.09,-0.05,0.15,0.34,0.16,0.29,0.18,0.31,0.24,0.24,0.14,0.38,0.4,0.3,0.2,0.21,0.18,0.13,0.14,0.36,0.03,0.25,0.0,0.27,0.21
8.0,0.2,0.18,0.13,0.26,0.27,0.14,0.12,0.08,0.21,0.19,0.08,0.22,0.21,0.31,0.03,0.2,-0.01,-0.0,0.24,0.1,0.32,0.12,0.14,0.15,0.2,0.24,0.17,0.17,0.13,0.1,0.09,0.11,0.13,0.09,0.1,0.45,0.43,0.15,0.13,0.12,0.18,0.28
9.0,0.27,0.21,-0.05,0.25,0.29,0.21,0.23,0.23,0.05,0.23,0.18,0.3,0.18,0.25,0.25,0.19,0.08,-0.2,0.14,0.19,0.06,0.1,0.13,0.16,0.1,0.0,0.13,0.0,0.22,0.0,0.26,0.1,0.0,0.13,0.0,0.25,0.2,0.12,0.0,0.0,0.0,0.0
10.0,0.23,0.16,-0.45,0.21,0.29,0.24,0.25,0.21,0.12,0.24,0.13,0.18,0.31,0.17,0.25,0.35,0.16,0.1,-0.08,0.12,0.14,-0.25,0.2,-0.33,-0.33,0.4,-0.25,0.0,-0.7,-0.33,-0.33,-0.33,-0.33,-0.47,0.4,-0.33,0.0,0.0,0.0,0.0,-0.25,0.4
11.0,0.26,0.17,0.22,0.39,0.38,0.14,0.21,0.29,0.2,0.32,0.17,0.03,0.21,0.4,0.46,0.33,0.55,0.17,0.22,0.12,0.4,0.32,0.33,0.25,0.4,0.34,0.28,0.27,0.2,0.38,0.24,0.27,0.23,0.22,0.13,0.21,0.37,0.32,0.25,0.28,0.26,0.3
12.0,0.32,0.28,0.2,0.35,0.4,0.32,0.32,0.2,0.19,-0.01,0.26,0.33,0.28,0.31,0.46,0.39,0.14,0.3,0.29,0.32,0.18,0.28,0.55,0.9,0.28,0.9,0.28,0.3,0.0,0.0,0.0,0.55,0.0,0.55,0.2,0.0,0.9,0.0,0.0,0.3,0.0,0.0
13.0,0.29,0.22,0.32,0.26,0.26,0.24,0.3,0.29,0.27,0.33,0.39,0.29,0.31,0.41,0.14,0.43,0.32,-0.06,0.13,0.23,0.42,0.31,0.38,0.28,0.38,0.34,0.31,0.33,0.28,0.16,0.36,0.34,0.19,0.36,0.19,0.57,0.33,0.38,0.1,0.38,0.24,0.62
14.0,0.26,0.23,0.29,0.23,0.36,0.25,0.23,0.18,0.24,0.31,0.33,0.24,0.24,0.34,0.14,0.31,0.09,0.12,0.43,0.14,0.27,0.18,0.23,0.22,0.22,0.27,0.2,0.2,0.22,0.43,0.38,0.35,0.48,0.23,0.38,0.1,0.39,0.12,0.18,-0.03,0.15,0.36
15.0,0.13,0.12,0.16,0.22,0.01,0.13,0.17,0.04,-0.05,0.01,-0.08,0.04,0.01,0.49,0.24,0.27,-0.21,-0.04,0.09,0.05,0.37,0.31,0.28,0.24,0.31,0.16,0.29,0.22,0.23,0.22,0.29,0.24,0.25,0.22,0.09,0.17,0.4,0.23,0.18,0.18,0.27,0.02
16.0,0.48,0.51,0.43,0.5,0.41,0.39,0.51,0.55,0.46,0.38,0.34,0.58,0.42,0.5,0.35,0.53,0.5,0.5,0.38,0.62,0.25,0.31,0.25,0.34,0.4,0.46,0.23,0.14,0.14,0.33,0.23,0.24,0.14,0.24,0.38,0.41,0.26,0.25,0.0,0.35,0.31,0.13
17.0,0.26,0.2,0.25,0.31,0.33,0.28,0.3,0.16,0.25,0.28,0.21,0.33,0.16,0.2,0.23,0.4,0.29,0.21,0.3,0.23,-0.02,0.26,0.2,0.21,0.29,0.25,0.23,0.17,0.21,0.21,0.24,0.25,0.2,0.27,0.17,0.36,0.01,0.17,0.19,0.22,0.21,0.19
18.0,0.15,0.14,0.3,0.18,0.17,0.13,0.12,0.2,0.09,0.24,0.26,0.18,0.09,0.13,0.16,0.29,0.15,0.13,0.16,0.12,-0.08,-0.14,-0.08,0.35,0.07,0.0,-0.17,0.02,0.35,0.4,0.25,-0.07,-0.1,0.3,-0.25,0.35,0.0,-0.03,0.07,-0.03,-0.17,0.3
