Book_ID,Title,Author,GenRev_Similarity_Score
25,Circe,Madeline Miller,0.76
21,The Rising Sea,Clive Cussler,0.74
16,Twisted Twenty-Six,Janet Evanovich,0.74
21,The Rising Sea,Clive Cussler,0.73
25,Circe,Madeline Miller,0.73
25,Circe,Madeline Miller,0.73
21,The Rising Sea,Clive Cussler,0.73
39,Lethal White,Robert Galbraith,0.72
35,Texas Ranger,James Patterson,0.72
21,The Rising Sea,Clive Cussler,0.72
36,The Fall of Gondolin,J.R.R. Tolkien,0.72
21,The Rising Sea,Clive Cussler,0.72
21,The Rising Sea,Clive Cussler,0.71
38,Juror #3,James Patterson,0.71
48,Fire & Blood,George R.R. Martin,0.71
21,The Rising Sea,Clive Cussler,0.71
21,The Rising Sea,Clive Cussler,0.7
21,The Rising Sea,Clive Cussler,0.7
5,The Institute,Stephen King,0.7
21,The Rising Sea,Clive Cussler,0.7
37,Leverage in Death,J.D. Robb,0.7
21,The Rising Sea,Clive Cussler,0.7
21,The Rising Sea,Clive Cussler,0.7
36,The Fall of Gondolin,J.R.R. Tolkien,0.7
13,The New Girl,Daniel Silva,0.7
48,Fire & Blood,George R.R. Martin,0.7
25,Circe,Madeline Miller,0.69
36,The Fall of Gondolin,J.R.R. Tolkien,0.69
47,Look Alive Twenty-Five,Janet Evanovich,0.69
36,The Fall of Gondolin,J.R.R. Tolkien,0.69
21,The Rising Sea,Clive Cussler,0.69
32,The Other Woman,Daniel Silva,0.69
9,An Anonymous Girl,Greer Hendricks,0.69
14,One Good Deed,David Baldacci,0.69
21,The Rising Sea,Clive Cussler,0.69
34,Tailspin,Sandra Brown,0.69
23,The Disappeared,C.J. Box,0.69
21,The Rising Sea,Clive Cussler,0.69
36,The Fall of Gondolin,J.R.R. Tolkien,0.69
7,The Night Fire,Michael Connelly,0.69
46,Past Tense,Lee Child,0.68
21,The Rising Sea,Clive Cussler,0.68
47,Look Alive Twenty-Five,Janet Evanovich,0.68
37,Leverage in Death,J.D. Robb,0.68
22,Accidental Heroes,Danielle Steel,0.68
21,The Rising Sea,Clive Cussler,0.68
34,Tailspin,Sandra Brown,0.68
21,The Rising Sea,Clive Cussler,0.68
36,The Fall of Gondolin,J.R.R. Tolkien,0.68
13,The New Girl,Daniel Silva,0.68
50,The People vs. Alex Cross,James Patterson,0.68
34,Tailspin,Sandra Brown,0.68
13,The New Girl,Daniel Silva,0.68
25,Circe,Madeline Miller,0.68
25,Circe,Madeline Miller,0.68
22,Accidental Heroes,Danielle Steel,0.68
25,Circe,Madeline Miller,0.68
28,The 17th Suspect,James Patterson,0.68
47,Look Alive Twenty-Five,Janet Evanovich,0.68
4,The Water Dancer,Ta-Nehisi Coates,0.68
24,I've Got My Eyes on You,Mary Higgins Clark,0.67
40,An Absolutely Remarkable Thing,Hank Green,0.67
50,The People vs. Alex Cross,James Patterson,0.67
11,Redemption,David Baldacci,0.67
21,The Rising Sea,Clive Cussler,0.67
21,The Rising Sea,Clive Cussler,0.67
27,Twisted Prey,John Sandford,0.67
12,Summer of '69,Elin Hilderbrand,0.67
25,Circe,Madeline Miller,0.67
36,The Fall of Gondolin,J.R.R. Tolkien,0.67
22,Accidental Heroes,Danielle Steel,0.67
21,The Rising Sea,Clive Cussler,0.67
48,Fire & Blood,George R.R. Martin,0.67
40,An Absolutely Remarkable Thing,Hank Green,0.67
7,The Night Fire,Michael Connelly,0.67
35,Texas Ranger,James Patterson,0.67
25,Circe,Madeline Miller,0.67
35,Texas Ranger,James Patterson,0.67
36,The Fall of Gondolin,J.R.R. Tolkien,0.67
11,Redemption,David Baldacci,0.67
4,The Water Dancer,Ta-Nehisi Coates,0.67
30,The Outsider,Stephen King,0.67
21,The Rising Sea,Clive Cussler,0.67
45,Elevation,Stephen King,0.67
19,Dark in Death,J.D. Robb,0.67
25,Circe,Madeline Miller,0.67
30,The Outsider,Stephen King,0.67
3,The 19th Christmas,James Patterson,0.67
19,Dark in Death,J.D. Robb,0.67
36,The Fall of Gondolin,J.R.R. Tolkien,0.67
21,The Rising Sea,Clive Cussler,0.67
48,Fire & Blood,George R.R. Martin,0.67
25,Circe,Madeline Miller,0.67
21,The Rising Sea,Clive Cussler,0.67
13,The New Girl,Daniel Silva,0.67
21,The Rising Sea,Clive Cussler,0.67
25,Circe,Madeline Miller,0.67
30,The Outsider,Stephen King,0.67
