Book_ID,Title,Author,GenRev_Similarity_Score
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.8
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.8
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.79
86,Becoming,Michelle Obama,0.78
84,Shade: A Tale of Two Presidents,Pete Souza,0.77
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.77
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.76
84,Shade: A Tale of Two Presidents,Pete Souza,0.76
51,The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,0.76
68,Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump,Michael Isikoff,0.76
84,Shade: A Tale of Two Presidents,Pete Souza,0.76
84,Shade: A Tale of Two Presidents,Pete Souza,0.76
69,Dear Madam President: An Open Letter to the Women Who Will Run the World,Jennifer Palmieri,0.76
81,Fear: Trump in the White House,Bob Woodward,0.76
84,Shade: A Tale of Two Presidents,Pete Souza,0.75
84,Shade: A Tale of Two Presidents,Pete Souza,0.75
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.75
51,The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,0.75
84,Shade: A Tale of Two Presidents,Pete Souza,0.75
84,Shade: A Tale of Two Presidents,Pete Souza,0.75
57,Unfreedom of the Press,Mark R. Levin,0.75
57,Unfreedom of the Press,Mark R. Levin,0.75
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.75
78,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,Gregg Jarrett,0.75
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.75
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.75
79,Unhinged: An Insider's Account of the Trump White House,Omarosa Manigault Newman,0.75
51,The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,0.75
79,Unhinged: An Insider's Account of the Trump White House,Omarosa Manigault Newman,0.75
74,"The Restless Wave: Good Times, Just Causes, Great Fights and Other Appreciations",John McCain,0.75
71,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,0.75
84,Shade: A Tale of Two Presidents,Pete Souza,0.75
78,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,Gregg Jarrett,0.75
59,Call Sign Chaos: Learning to Lead,Jim Mattis,0.75
51,The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,0.75
98,"Devil's Bargain: Steve Bannon, Donald Trump, and the Storming of the Presidency",Joshua  Green,0.75
